"filename", "language", "C#", "comment", "blank", "total"
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Constants.cs", "C#", 7, 0, 2, 9
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Drops\Candy.cs", "C#", 13, 0, 4, 17
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Drops\Cash.cs", "C#", 13, 0, 4, 17
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Drops\Chest.cs", "C#", 14, 0, 4, 18
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Drops\DropManager.cs", "C#", 75, 2, 24, 101
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Drops\DroppableCurrency.cs", "C#", 32, 0, 12, 44
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Effects\BumpyButton.cs", "C#", 54, 2, 14, 70
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Effects\CameraShake.cs", "C#", 25, 0, 7, 32
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Effects\ColorHolder.cs", "C#", 26, 0, 6, 32
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Effects\DamageText.cs", "C#", 16, 1, 4, 21
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Effects\HopOnTap.cs", "C#", 27, 0, 6, 33
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Effects\ScalenRotate.cs", "C#", 27, 0, 8, 35
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Effects\SpritesSorter.cs", "C#", 15, 2, 4, 21
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Enemy\Boss.cs", "C#", 138, 2, 37, 177
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Enemy\Enemy.cs", "C#", 89, 4, 26, 119
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Enemy\EnemyBullet.cs", "C#", 63, 4, 20, 87
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Enemy\EnemyMovement.cs", "C#", 22, 2, 10, 34
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Enemy\MeleeEnemy.cs", "C#", 52, 3, 15, 70
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Enemy\RangeEnemy.cs", "C#", 40, 2, 13, 55
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Enemy\RangeEnemyAttack.cs", "C#", 84, 2, 26, 112
